Date,Decimal Date,Average,Interpolated,Trend,Number of Days
1971-09,1971.708,323.36,323.36,326.18,-1
1971-10,1971.792,323.57,323.57,326.58,-1
1971-11,1971.875,324.80,324.80,326.82,-1
1971-12,1971.958,326.01,326.01,327.02,-1
1972-01,1972.042,326.77,326.77,326.86,-1
1972-02,1972.125,327.63,327.63,327.05,-1
1972-03,1972.208,327.75,327.75,326.52,-1
1972-04,1972.292,329.72,329.72,327.41,-1
1972-05,1972.375,330.07,330.07,327.21,-1
1972-06,1972.458,329.09,329.09,326.94,-1
1972-07,1972.542,328.05,328.05,327.24,-1
1972-08,1972.625,326.32,326.32,327.37,-1
1972-09,1972.708,324.93,324.93,327.73,-1
1972-10,1972.792,325.06,325.06,328.05,-1
1972-11,1972.875,326.50,326.50,328.51,-1
1972-12,1972.958,327.55,327.55,328.56,-1
1973-01,1973.042,328.54,328.54,328.58,-1
1973-02,1973.125,329.56,329.56,328.87,-1
1973-03,1973.208,330.30,330.30,328.99,-1
1973-04,1973.292,331.50,331.50,329.12,-1
1973-05,1973.375,332.48,332.48,329.60,-1
1973-06,1973.458,332.07,332.07,329.96,-1
1973-07,1973.542,330.87,330.87,330.09,-1
1973-08,1973.625,329.31,329.31,330.43,-1
1973-09,1973.708,327.51,327.51,330.43,-1
1973-10,1973.792,327.18,327.18,330.23,-1
1973-11,1973.875,328.16,328.16,330.17,-1
1973-12,1973.958,328.64,328.64,329.66,-1
1974-01,1974.042,329.35,329.35,329.44,-1
1974-02,1974.125,330.71,330.71,330.11,-1
1974-03,1974.208,331.48,331.48,330.19,-1
1974-04,1974.292,332.65,332.65,330.25,-1
1974-05,1974.375,333.20,333.20,330.26,15
1974-06,1974.458,332.12,332.12,329.93,27
1974-07,1974.542,330.99,330.99,330.20,31
1974-08,1974.625,329.17,329.17,330.31,31
1974-09,1974.708,327.41,327.41,330.35,29
1974-10,1974.792,327.21,327.21,330.29,29
1974-11,1974.875,328.34,328.34,330.33,29
1974-12,1974.958,329.50,329.50,330.47,31
1975-01,1975.042,330.68,330.68,330.81,31
1975-02,1975.125,331.41,331.41,330.86,28
1975-03,1975.208,331.85,331.85,330.49,26
1975-04,1975.292,333.29,333.29,330.77,30
1975-05,1975.375,333.91,333.91,330.94,30
1975-06,1975.458,333.40,333.40,331.18,29
1975-07,1975.542,331.74,331.74,330.92,27
1975-08,1975.625,329.88,329.88,331.06,31
1975-09,1975.708,328.57,328.57,331.54,30
1975-10,1975.792,328.36,328.36,331.46,17
1975-11,1975.875,329.33,329.33,331.39,25
1975-12,1975.958,-99.99,330.59,331.60,1
1976-01,1976.042,331.66,331.66,331.82,25
1976-02,1976.125,332.75,332.75,332.19,29
1976-03,1976.208,333.46,333.46,331.99,29
1976-04,1976.292,334.78,334.78,332.24,25
1976-05,1976.375,334.78,334.78,331.86,31
1976-06,1976.458,334.06,334.06,331.74,25
1976-07,1976.542,332.96,332.96,332.06,21
1976-08,1976.625,330.64,330.64,331.87,31
1976-09,1976.708,328.96,328.96,331.94,28
1976-10,1976.792,328.77,328.77,331.92,30
1976-11,1976.875,330.18,330.18,332.33,26
1976-12,1976.958,331.65,331.65,332.69,24
1977-01,1977.042,332.69,332.69,332.75,29
1977-02,1977.125,333.23,333.23,332.60,26
1977-03,1977.208,334.97,334.97,333.36,29
1977-04,1977.292,336.03,336.03,333.39,29
1977-05,1977.375,336.82,336.82,333.87,30
1977-06,1977.458,336.10,336.10,333.76,25
1977-07,1977.542,334.79,334.79,333.96,28
1977-08,1977.625,332.53,332.53,333.92,30
1977-09,1977.708,331.19,331.19,334.27,27
1977-10,1977.792,331.21,331.21,334.43,30
1977-11,1977.875,332.35,332.35,334.59,28
1977-12,1977.958,333.47,333.47,334.48,31
1978-01,1978.042,335.10,335.10,335.11,26
1978-02,1978.125,335.26,335.26,334.58,28
1978-03,1978.208,336.61,336.61,334.95,30
1978-04,1978.292,337.77,337.77,335.11,28
1978-05,1978.375,338.01,338.01,335.05,30
1978-06,1978.458,337.98,337.98,335.60,27
1978-07,1978.542,336.48,336.48,335.68,31
1978-08,1978.625,334.37,334.37,335.88,31
1978-09,1978.708,332.33,332.33,335.49,24
1978-10,1978.792,332.41,332.41,335.66,31
1978-11,1978.875,333.76,333.76,336.01,28
1978-12,1978.958,334.83,334.83,335.79,31
1979-01,1979.042,336.21,336.21,336.23,31
1979-02,1979.125,336.65,336.65,335.94,27
1979-03,1979.208,338.13,338.13,336.40,29
1979-04,1979.292,338.94,338.94,336.21,24
1979-05,1979.375,339.00,339.00,336.01,20
1979-06,1979.458,339.20,339.20,336.79,30
1979-07,1979.542,337.60,337.60,336.78,29
1979-08,1979.625,335.56,335.56,337.10,29
1979-09,1979.708,333.93,333.93,337.17,26
1979-10,1979.792,334.12,334.12,337.44,28
1979-11,1979.875,335.26,335.26,337.54,30
1979-12,1979.958,336.78,336.78,337.76,24
1980-01,1980.042,337.80,337.80,337.95,30
1980-02,1980.125,338.28,338.28,337.73,28
1980-03,1980.208,340.04,340.04,338.43,31
1980-04,1980.292,340.86,340.86,338.20,30
1980-05,1980.375,341.47,341.47,338.45,31
1980-06,1980.458,341.26,341.26,338.79,30
1980-07,1980.542,339.34,339.34,338.48,26
1980-08,1980.625,337.45,337.45,338.92,24
1980-09,1980.708,336.10,336.10,339.27,26
1980-10,1980.792,336.05,336.05,339.32,29
1980-11,1980.875,337.21,337.21,339.38,27
1980-12,1980.958,338.29,338.29,339.23,27
1981-01,1981.042,339.36,339.36,339.41,31
1981-02,1981.125,340.51,340.51,339.89,28
1981-03,1981.208,341.57,341.57,339.98,31
1981-04,1981.292,342.56,342.56,339.93,30
1981-05,1981.375,343.01,343.01,339.99,31
1981-06,1981.458,342.49,342.49,340.02,28
1981-07,1981.542,340.68,340.68,339.81,31
1981-08,1981.625,338.49,338.49,339.97,28
1981-09,1981.708,336.92,336.92,340.17,30
1981-10,1981.792,337.12,337.12,340.44,31
1981-11,1981.875,338.59,338.59,340.76,30
1981-12,1981.958,339.90,339.90,340.81,28
1982-01,1982.042,340.92,340.92,341.03,30
1982-02,1982.125,341.69,341.69,341.05,27
1982-03,1982.208,342.86,342.86,341.22,21
1982-04,1982.292,343.92,343.92,341.31,9
1982-05,1982.375,344.67,344.67,341.63,31
1982-06,1982.458,343.78,343.78,341.32,29
1982-07,1982.542,342.23,342.23,341.45,28
1982-08,1982.625,340.11,340.11,341.61,27
1982-09,1982.708,338.31,338.31,341.53,26
1982-10,1982.792,338.39,338.39,341.72,30
1982-11,1982.875,339.48,339.48,341.62,28
1982-12,1982.958,340.88,340.88,341.77,31
1983-01,1983.042,341.64,341.64,341.79,31
1983-02,1983.125,342.87,342.87,342.30,27
1983-03,1983.208,343.59,343.59,342.04,30
1983-04,1983.292,345.25,345.25,342.63,26
1983-05,1983.375,345.96,345.96,342.80,29
1983-06,1983.458,345.52,345.52,343.03,25
1983-07,1983.542,344.15,344.15,343.42,30
1983-08,1983.625,342.25,342.25,343.72,28
1983-09,1983.708,340.17,340.17,343.34,27
1983-10,1983.792,340.30,340.30,343.63,31
1983-11,1983.875,341.53,341.53,343.66,29
1983-12,1983.958,343.07,343.07,343.97,26
1984-01,1984.042,344.05,344.05,344.15,31
1984-02,1984.125,344.77,344.77,344.21,29
1984-03,1984.208,345.46,345.46,344.00,23
1984-04,1984.292,-99.99,346.77,344.17,2
1984-05,1984.375,347.55,347.55,344.35,27
1984-06,1984.458,346.98,346.98,344.50,25
1984-07,1984.542,345.55,345.55,344.82,29
1984-08,1984.625,343.20,343.20,344.67,24
1984-09,1984.708,341.34,341.34,344.54,27
1984-10,1984.792,341.68,341.68,344.99,28
1984-11,1984.875,343.06,343.06,345.16,28
1984-12,1984.958,344.54,344.54,345.42,28
1985-01,1985.042,345.25,345.25,345.35,29
1985-02,1985.125,346.06,346.06,345.50,26
1985-03,1985.208,347.66,347.66,346.27,28
1985-04,1985.292,348.20,348.20,345.64,27
1985-05,1985.375,348.92,348.92,345.75,31
1985-06,1985.458,348.40,348.40,345.94,30
1985-07,1985.542,346.65,346.65,345.86,28
1985-08,1985.625,344.85,344.85,346.22,27
1985-09,1985.708,343.20,343.20,346.32,27
1985-10,1985.792,343.08,343.08,346.36,27
1985-11,1985.875,344.40,344.40,346.53,29
1985-12,1985.958,345.82,345.82,346.75,29
1986-01,1986.042,346.54,346.54,346.56,26
1986-02,1986.125,347.13,347.13,346.59,26
1986-03,1986.208,348.05,348.05,346.71,31
1986-04,1986.292,349.77,349.77,347.21,30
1986-05,1986.375,350.53,350.53,347.39,30
1986-06,1986.458,349.90,349.90,347.47,24
1986-07,1986.542,348.11,348.11,347.30,26
1986-08,1986.625,346.09,346.09,347.49,29
1986-09,1986.708,345.01,345.01,348.16,25
1986-10,1986.792,344.47,344.47,347.71,30
1986-11,1986.875,345.86,345.86,347.99,30
1986-12,1986.958,347.15,347.15,348.06,30
1987-01,1987.042,348.38,348.38,348.31,30
1987-02,1987.125,348.70,348.70,348.01,28
1987-03,1987.208,349.72,349.72,348.31,27
1987-04,1987.292,351.32,351.32,348.77,30
1987-05,1987.375,352.14,352.14,349.03,31
1987-06,1987.458,351.61,351.61,349.23,29
1987-07,1987.542,349.91,349.91,349.20,28
1987-08,1987.625,347.84,347.84,349.34,27
1987-09,1987.708,346.52,346.52,349.71,29
1987-10,1987.792,346.65,346.65,349.88,30
1987-11,1987.875,347.95,347.95,350.07,27
1987-12,1987.958,349.18,349.18,350.07,30
1988-01,1988.042,350.38,350.38,350.36,29
1988-02,1988.125,351.68,351.68,351.01,27
1988-03,1988.208,352.24,352.24,350.76,30
1988-04,1988.292,353.66,353.66,351.00,30
1988-05,1988.375,354.18,354.18,350.99,31
1988-06,1988.458,353.68,353.68,351.30,29
1988-07,1988.542,352.58,352.58,351.94,30
1988-08,1988.625,350.66,350.66,352.19,27
1988-09,1988.708,349.03,349.03,352.22,29
1988-10,1988.792,349.08,349.08,352.34,31
1988-11,1988.875,350.15,350.15,352.29,27
1988-12,1988.958,351.44,351.44,352.36,30
1989-01,1989.042,352.89,352.89,352.83,31
1989-02,1989.125,353.24,353.24,352.55,28
1989-03,1989.208,353.80,353.80,352.36,30
1989-04,1989.292,355.59,355.59,352.93,30
1989-05,1989.375,355.89,355.89,352.65,31
1989-06,1989.458,355.30,355.30,352.88,30
1989-07,1989.542,353.98,353.98,353.33,31
1989-08,1989.625,351.53,351.53,353.11,29
1989-09,1989.708,350.02,350.02,353.26,28
1989-10,1989.792,350.29,350.29,353.53,30
1989-11,1989.875,351.44,351.44,353.60,30
1989-12,1989.958,352.84,352.84,353.78,28
1990-01,1990.042,353.79,353.79,353.74,30
1990-02,1990.125,354.88,354.88,354.20,28
1990-03,1990.208,355.65,355.65,354.21,31
1990-04,1990.292,356.28,356.28,353.66,29
1990-05,1990.375,357.29,357.29,354.10,30
1990-06,1990.458,356.32,356.32,353.92,30
1990-07,1990.542,354.88,354.88,354.27,29
1990-08,1990.625,352.89,352.89,354.51,30
1990-09,1990.708,351.28,351.28,354.53,27
1990-10,1990.792,351.59,351.59,354.81,31
1990-11,1990.875,353.05,353.05,355.10,29
1990-12,1990.958,354.27,354.27,355.12,30
1991-01,1991.042,354.87,354.87,354.85,29
1991-02,1991.125,355.68,355.68,355.01,28
1991-03,1991.208,357.06,357.06,355.57,27
1991-04,1991.292,358.51,358.51,355.88,30
1991-05,1991.375,359.09,359.09,355.94,31
1991-06,1991.458,358.10,358.10,355.75,30
1991-07,1991.542,356.12,356.12,355.51,29
1991-08,1991.625,353.89,353.89,355.50,31
1991-09,1991.708,352.30,352.30,355.58,30
1991-10,1991.792,352.32,352.32,355.55,31
1991-11,1991.875,353.79,353.79,355.78,30
1991-12,1991.958,355.07,355.07,355.89,31
1992-01,1992.042,356.17,356.17,356.12,30
1992-02,1992.125,356.93,356.93,356.23,29
1992-03,1992.208,357.82,357.82,356.28,29
1992-04,1992.292,359.00,359.00,356.30,30
1992-05,1992.375,359.55,359.55,356.33,31
1992-06,1992.458,359.32,359.32,356.92,30
1992-07,1992.542,356.85,356.85,356.27,30
1992-08,1992.625,354.91,354.91,356.61,30
1992-09,1992.708,352.93,352.93,356.27,29
1992-10,1992.792,353.31,353.31,356.57,30
1992-11,1992.875,354.27,354.27,356.32,30
1992-12,1992.958,355.53,355.53,356.37,31
1993-01,1993.042,356.86,356.86,356.84,28
1993-02,1993.125,357.27,357.27,356.43,28
1993-03,1993.208,358.36,358.36,356.70,31
1993-04,1993.292,359.27,359.27,356.60,30
1993-05,1993.375,360.19,360.19,357.00,31
1993-06,1993.458,359.52,359.52,357.09,30
1993-07,1993.542,357.42,357.42,356.83,27
1993-08,1993.625,355.46,355.46,357.14,28
1993-09,1993.708,354.10,354.10,357.45,26
1993-10,1993.792,354.12,354.12,357.46,30
1993-11,1993.875,355.40,355.40,357.53,30
1993-12,1993.958,356.84,356.84,357.76,31
1994-01,1994.042,358.22,358.22,358.13,27
1994-02,1994.125,358.98,358.98,358.15,27
1994-03,1994.208,359.91,359.91,358.25,30
1994-04,1994.292,361.32,361.32,358.57,30
1994-05,1994.375,361.68,361.68,358.44,30
1994-06,1994.458,360.80,360.80,358.39,30
1994-07,1994.542,359.39,359.39,358.79,31
1994-08,1994.625,357.42,357.42,359.12,31
1994-09,1994.708,355.63,355.63,359.05,30
1994-10,1994.792,356.09,356.09,359.50,31
1994-11,1994.875,357.56,357.56,359.72,30
1994-12,1994.958,358.87,358.87,359.75,31
1995-01,1995.042,359.87,359.87,359.76,31
1995-02,1995.125,360.79,360.79,359.98,28
1995-03,1995.208,361.77,361.77,360.19,30
1995-04,1995.292,363.23,363.23,360.56,30
1995-05,1995.375,363.77,363.77,360.61,29
1995-06,1995.458,363.22,363.22,360.82,30
1995-07,1995.542,361.70,361.70,361.03,31
1995-08,1995.625,359.11,359.11,360.74,30
1995-09,1995.708,358.11,358.11,361.48,30
1995-10,1995.792,357.97,357.97,361.34,31
1995-11,1995.875,359.40,359.40,361.54,30
1995-12,1995.958,360.61,360.61,361.49,30
1996-01,1996.042,362.04,362.04,361.84,31
1996-02,1996.125,363.17,363.17,362.29,29
1996-03,1996.208,364.17,364.17,362.55,31
1996-04,1996.292,364.51,364.51,361.81,29
1996-05,1996.375,365.16,365.16,362.10,31
1996-06,1996.458,364.93,364.93,362.64,30
1996-07,1996.542,363.53,363.53,362.83,31
1996-08,1996.625,361.38,361.38,362.99,30
1996-09,1996.708,359.60,359.60,363.03,28
1996-10,1996.792,359.54,359.54,362.91,31
1996-11,1996.875,360.84,360.84,362.99,30
1996-12,1996.958,362.18,362.18,363.05,31
1997-01,1997.042,363.04,363.04,362.85,31
1997-02,1997.125,364.09,364.09,363.28,28
1997-03,1997.208,364.47,364.47,362.86,31
1997-04,1997.292,366.25,366.25,363.59,29
1997-05,1997.375,366.69,366.69,363.76,30
1997-06,1997.458,365.59,365.59,363.39,28
1997-07,1997.542,364.34,364.34,363.63,26
1997-08,1997.625,362.20,362.20,363.78,27
1997-09,1997.708,360.31,360.31,363.69,29
1997-10,1997.792,360.71,360.71,364.01,31
1997-11,1997.875,362.44,362.44,364.51,29
1997-12,1997.958,364.33,364.33,365.12,31
1998-01,1998.042,365.18,365.18,365.01,30
1998-02,1998.125,365.98,365.98,365.18,27
1998-03,1998.208,367.13,367.13,365.50,31
1998-04,1998.292,368.61,368.61,366.00,30
1998-05,1998.375,369.49,369.49,366.60,30
1998-06,1998.458,368.95,368.95,366.73,30
1998-07,1998.542,367.74,367.74,367.05,30
1998-08,1998.625,365.79,365.79,367.37,31
1998-09,1998.708,364.01,364.01,367.34,29
1998-10,1998.792,364.35,364.35,367.63,31
1998-11,1998.875,365.52,365.52,367.58,23
1998-12,1998.958,367.08,367.08,367.85,26
1999-01,1999.042,368.12,368.12,367.92,27
1999-02,1999.125,368.98,368.98,368.18,23
1999-03,1999.208,369.60,369.60,368.00,25
1999-04,1999.292,370.96,370.96,368.44,30
1999-05,1999.375,370.77,370.77,367.95,30
1999-06,1999.458,370.33,370.33,368.14,30
1999-07,1999.542,369.28,369.28,368.60,30
1999-08,1999.625,366.86,366.86,368.42,30
1999-09,1999.708,364.94,364.94,368.24,28
1999-10,1999.792,365.35,365.35,368.62,31
1999-11,1999.875,366.68,366.68,368.68,29
1999-12,1999.958,368.04,368.04,368.72,29
2000-01,2000.042,369.25,369.25,369.06,27
2000-02,2000.125,369.50,369.50,368.79,23
2000-03,2000.208,370.56,370.56,369.04,31
2000-04,2000.292,371.82,371.82,369.29,29
2000-05,2000.375,371.51,371.51,368.64,29
2000-06,2000.458,371.71,371.71,369.49,29
2000-07,2000.542,369.84,369.84,369.18,28
2000-08,2000.625,368.20,368.20,369.78,28
2000-09,2000.708,366.91,366.91,370.19,30
2000-10,2000.792,366.99,366.99,370.22,31
2000-11,2000.875,368.33,368.33,370.29,25
2000-12,2000.958,369.67,369.67,370.31,30
2001-01,2001.042,370.52,370.52,370.36,29
2001-02,2001.125,371.49,371.49,370.77,28
2001-03,2001.208,372.53,372.53,370.97,29
2001-04,2001.292,373.37,373.37,370.79,30
2001-05,2001.375,373.83,373.83,370.92,25
2001-06,2001.458,373.18,373.18,370.97,28
2001-07,2001.542,371.57,371.57,370.94,30
2001-08,2001.625,369.63,369.63,371.21,30
2001-09,2001.708,368.16,368.16,371.41,30
2001-10,2001.792,368.42,368.42,371.65,31
2001-11,2001.875,369.69,369.69,371.70,27
2001-12,2001.958,371.18,371.18,371.89,31
2002-01,2002.042,372.45,372.45,372.23,29
2002-02,2002.125,373.14,373.14,372.26,27
2002-03,2002.208,373.94,373.94,372.22,27
2002-04,2002.292,375.00,375.00,372.33,30
2002-05,2002.375,375.65,375.65,372.74,31
2002-06,2002.458,375.50,375.50,373.29,30
2002-07,2002.542,374.00,374.00,373.36,31
2002-08,2002.625,371.83,371.83,373.47,31
2002-09,2002.708,370.66,370.66,374.01,29
2002-10,2002.792,370.51,370.51,373.84,31
2002-11,2002.875,372.20,372.20,374.33,30
2002-12,2002.958,373.71,373.71,374.50,30
2003-01,2003.042,374.87,374.87,374.63,31
2003-02,2003.125,375.62,375.62,374.75,27
2003-03,2003.208,376.48,376.48,374.79,31
2003-04,2003.292,377.74,377.74,375.02,27
2003-05,2003.375,378.50,378.50,375.47,31
2003-06,2003.458,378.18,378.18,375.95,29
2003-07,2003.542,376.72,376.72,376.16,28
2003-08,2003.625,374.31,374.31,375.98,26
2003-09,2003.708,373.20,373.20,376.51,28
2003-10,2003.792,373.10,373.10,376.45,30
2003-11,2003.875,374.64,374.64,376.83,25
2003-12,2003.958,375.93,375.93,376.74,30
2004-01,2004.042,377.00,377.00,376.79,31
2004-02,2004.125,377.87,377.87,377.01,27
2004-03,2004.208,378.73,378.73,377.06,30
2004-04,2004.292,380.41,380.41,377.65,29
2004-05,2004.375,380.63,380.63,377.51,28
2004-06,2004.458,379.56,379.56,377.28,26
2004-07,2004.542,377.61,377.61,377.03,28
2004-08,2004.625,376.15,376.15,377.85,19
2004-09,2004.708,374.11,374.11,377.49,16
2004-10,2004.792,374.44,374.44,377.80,31
2004-11,2004.875,375.93,375.93,378.13,27
2004-12,2004.958,377.45,377.45,378.30,31
2005-01,2005.042,378.47,378.47,378.21,31
2005-02,2005.125,379.76,379.76,378.95,27
2005-03,2005.208,381.14,381.14,379.63,27
2005-04,2005.292,382.20,382.20,379.54,30
2005-05,2005.375,382.47,382.47,379.33,31
2005-06,2005.458,382.20,382.20,379.87,30
2005-07,2005.542,380.78,380.78,380.17,30
2005-08,2005.625,378.73,378.73,380.38,30
2005-09,2005.708,376.66,376.66,379.98,30
2005-10,2005.792,376.98,376.98,380.29,14
